index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
1143	t oʊ ɹ tʃ ɚ	t oʊ ɹ tʃ ɚ d	torture	tortured	⋊ t o ɹ t ʃ ɛ ɹ ⋉	⋊ t o ɹ t ʃ ɛ ɹ d ⋉
1144	l ɪ b ə ɹ eɪ t	l ɪ b ə ɹ eɪ t ə d	liberate	liberated	⋊ l ɪ b ə ɹ e t ⋉	⋊ l ɪ b ə ɹ e t ɪ d ⋉
1145	b l ʌ ʃ	b l ʌ ʃ t	blush	blushed	⋊ b l ʌ ʃ ⋉	⋊ b l ʌ ʃ t ⋉
1146	s a b	s a b d	sob	sobbed	⋊ s a b ⋉	⋊ s a b d ⋉
1147	t u n	t u n d	tune	tuned	⋊ t u n ⋉	⋊ t u n d ⋉
1148	ɪ k s p ɛ l	ɪ k s p ɛ l d	expel	expelled	⋊ ɪ k s p ɛ l ⋉	⋊ ɪ k s p ɛ l d ⋉
1149	f l æ p	f l æ p t	flap	flapped	⋊ f l ɑ p ⋉	⋊ f l ɑ p t ⋉
1150	l ɛ k tʃ ɚ	l ɛ k tʃ ɚ d	lecture	lectured	⋊ l ɛ k t ʃ ɛ ɹ ⋉	⋊ l ɛ k t ʃ ɛ ɹ d ⋉
1151	b ʌ m p	b ʌ m p t	bump	bumped	⋊ b ʌ m p ⋉	⋊ b ʌ m p t ⋉
1152	s aɪ t	s aɪ t ə d	cite	cited	⋊ s a ɪ t ⋉	⋊ s a ɪ t ɪ d ⋉
1153	p eɪ s	p eɪ s t	pace	paced	⋊ p e s ⋉	⋊ p e s t ⋉
1154	s t i m	s t i m d	steam	steamed	⋊ s t i m ⋉	⋊ s t i m d ⋉
1155	t ʌ g	t ʌ g d	tug	tugged	⋊ t ʌ g ⋉	⋊ t ʌ g d ⋉
1156	b u m	b u m d	boom	boomed	⋊ b u m ⋉	⋊ b u m d ⋉
1157	f l ɪ k	f l ɪ k t	flick	flicked	⋊ f l ɪ k ⋉	⋊ f l ɪ k t ⋉
1158	ɪ m p ɹ ɪ z ə n	ɪ m p ɹ ɪ z ə n d	imprison	imprisoned	⋊ ɪ m p ɹ ɪ z ə n ⋉	⋊ ɪ m p ɹ ɪ z ə n d ⋉
1159	p ɹ ɪ z aɪ d	p ɹ ɪ z aɪ d ə d	preside	presided	⋊ p ɹ ɪ z a ɪ d ⋉	⋊ p ɹ ɪ z a ɪ d ɪ d ⋉
1160	k w oʊ ɹ ə l	k w oʊ ɹ ə l d	quarrel	quarrelled	⋊ k w o ɹ ə l ⋉	⋊ k w o ɹ ə l d ⋉
1161	v æ l j u	v æ l j u d	value	valued	⋊ v ɑ l j u ⋉	⋊ v ɑ l j u d ⋉
1162	k oʊ ɪ n s aɪ d	k oʊ ɪ n s aɪ d ə d	coincide	coincided	⋊ k o ɪ n s a ɪ d ⋉	⋊ k o ɪ n s a ɪ d ɪ d ⋉
1163	k ɹ æ m	k ɹ æ m d	cram	crammed	⋊ k ɹ ɑ m ⋉	⋊ k ɹ ɑ m d ⋉
1164	k ɹ ɪ p ə l	k ɹ ɪ p ə l d	cripple	crippled	⋊ k ɹ ɪ p ə l ⋉	⋊ k ɹ ɪ p ə l d ⋉
1165	d u m	d u m d	doom	doomed	⋊ d u m ⋉	⋊ d u m d ⋉
1166	f i tʃ ɚ	f i tʃ ɚ d	feature	featured	⋊ f i t ʃ ɛ ɹ ⋉	⋊ f i t ʃ ɛ ɹ d ⋉
1167	h ɪ n t	h ɪ n t ə d	hint	hinted	⋊ h ɪ n t ⋉	⋊ h ɪ n t ɪ d ⋉
1168	s p ɛ k j ʊ l eɪ t	s p ɛ k j ʊ l eɪ t ə d	speculate	speculated	⋊ s p ɛ k j ʊ l e t ⋉	⋊ s p ɛ k j ʊ l e t ɪ d ⋉
1169	ɹ ɪ ŋ k ə l	ɹ ɪ ŋ k ə l d	wrinkle	wrinkled	⋊ ɹ ɪ ŋ k ə l ⋉	⋊ ɹ ɪ ŋ k ə l d ⋉
1170	k oʊ ɹ ɪ s p a n d	k oʊ ɹ ɪ s p a n d ə d	correspond	corresponded	⋊ k o ɹ ɪ s p a n d ⋉	⋊ k o ɹ ɪ s p a n d ɪ d ⋉
1171	d ɪ s t ɹ ɛ s	d ɪ s t ɹ ɛ s t	distress	distressed	⋊ d ɪ s t ɹ ɛ s ⋉	⋊ d ɪ s t ɹ ɛ s t ⋉
1172	f oʊ ɹ k æ s t	f oʊ ɹ k æ s t	forecast	forecasted	⋊ f o ɹ k ɑ s t ⋉	⋊ f o ɹ k ɑ s t ⋉
1173	g l ɪ t ɚ	g l ɪ t ɚ d	glitter	glittered	⋊ g l ɪ t ɛ ɹ ⋉	⋊ g l ɪ t ɛ ɹ d ⋉
1174	s k ɹ ʌ b	s k ɹ ʌ b d	scrub	scrubbed	⋊ s k ɹ ʌ b ⋉	⋊ s k ɹ ʌ b d ⋉
1175	m oʊ t ɪ v eɪ t	m oʊ t ɪ v eɪ t ə d	motivate	motivated	⋊ m o t ɪ v e t ⋉	⋊ m o t ɪ v e t ɪ d ⋉
1176	ɹ eɪ p	ɹ eɪ p t	rape	raped	⋊ ɹ e p ⋉	⋊ ɹ e p t ⋉
1177	f æ s ə n	f æ s ə n d	fasten	fastened	⋊ f ɑ s ə n ⋉	⋊ f ɑ s ə n d ⋉
1178	p ɚ tʃ	p ɚ tʃ t	perch	perched	⋊ p ɛ ɹ t ʃ ⋉	⋊ p ɛ ɹ t ʃ t ⋉
1179	p ɪ tʃ	p ɪ tʃ t	pitch	pitched	⋊ p ɪ t ʃ ⋉	⋊ p ɪ t ʃ t ⋉
1180	p ʌ n tʃ	p ʌ n tʃ t	punch	punched	⋊ p ʌ n t ʃ ⋉	⋊ p ʌ n t ʃ t ⋉
1181	ɪ n s ʌ l t	ɪ n s ʌ l t ə d	insult	insulted	⋊ ɪ n s ʌ l t ⋉	⋊ ɪ n s ʌ l t ɪ d ⋉
1182	l i k	l i k t	leak	leaked	⋊ l i k ⋉	⋊ l i k t ⋉
1183	s ɛ n t ə n s	s ɛ n t ə n s t	sentence	sentenced	⋊ s ɛ n t ə n s ⋉	⋊ s ɛ n t ə n s t ⋉
1184	ʌ n d ɚ l aɪ n	ʌ n d ɚ l aɪ n d	underline	underlined	⋊ ʌ n d ɛ ɹ l a ɪ n ⋉	⋊ ʌ n d ɛ ɹ l a ɪ n d ⋉
1185	d ɪ t ɚ	d ɪ t ɚ d	deter	deterred	⋊ d ɪ t ɛ ɹ ⋉	⋊ d ɪ t ɛ ɹ d ⋉
1186	ə b s ɛ s	ə b s ɛ s t	obsess	obsessed	⋊ ə b s ɛ s ⋉	⋊ ə b s ɛ s t ⋉
1187	tʃ æ t ɚ	tʃ æ t ɚ d	chatter	chattered	⋊ t ʃ ɑ t ɛ ɹ ⋉	⋊ t ʃ ɑ t ɛ ɹ d ⋉
1188	d ɹ ɪ p	d ɹ ɪ p t	drip	dripped	⋊ d ɹ ɪ p ⋉	⋊ d ɹ ɪ p t ⋉
1189	w ɚ l	w ɚ l d	whirl	whirled	⋊ w ɛ ɹ l ⋉	⋊ w ɛ ɹ l d ⋉
1190	ɹ ɛ k	ɹ ɛ k t	wreck	wrecked	⋊ ɹ ɛ k ⋉	⋊ ɹ ɛ k t ⋉
1191	ɪ k s p oʊ ɹ t	ɪ k s p oʊ ɹ t ə d	export	exported	⋊ ɪ k s p o ɹ t ⋉	⋊ ɪ k s p o ɹ t ɪ d ⋉
1192	b a ɹ k	b a ɹ k t	bark	barked	⋊ b a ɹ k ⋉	⋊ b a ɹ k t ⋉
1193	b ɹ u d	b ɹ u d ə d	brood	brooded	⋊ b ɹ u d ⋉	⋊ b ɹ u d ɪ d ⋉
1194	k ə n t ɹ æ s t	k ə n t ɹ æ s t ə d	contrast	contrasted	⋊ k ə n t ɹ ɑ s t ⋉	⋊ k ə n t ɹ ɑ s t ɪ d ⋉
1195	d ɛ d ɪ k eɪ t	d ɛ d ɪ k eɪ t ə d	dedicate	dedicated	⋊ d ɛ d ɪ k e t ⋉	⋊ d ɛ d ɪ k e t ɪ d ⋉
1196	h a ɹ m	h a ɹ m d	harm	harmed	⋊ h a ɹ m ⋉	⋊ h a ɹ m d ⋉
1197	ɪ n dʒ ɚ	ɪ n dʒ ɚ d	injure	injured	⋊ ɪ n d ʒ ɛ ɹ ⋉	⋊ ɪ n d ʒ ɛ ɹ d ⋉
1198	m ɪ ŋ g ə l	m ɪ ŋ g ə l d	mingle	mingled	⋊ m ɪ ŋ g ə l ⋉	⋊ m ɪ ŋ g ə l d ⋉
1199	s oʊ ɹ	s oʊ ɹ d	soar	soared	⋊ s o ɹ ⋉	⋊ s o ɹ d ⋉
1200	s p ɛ ʃ ə l aɪ z	s p ɛ ʃ ə l aɪ z d	specialize	specialized	⋊ s p ɛ ʃ ə l a ɪ z ⋉	⋊ s p ɛ ʃ ə l a ɪ z d ⋉
1201	s p l æ ʃ	s p l æ ʃ t	splash	splashed	⋊ s p l ɑ ʃ ⋉	⋊ s p l ɑ ʃ t ⋉
1202	s p ɹ eɪ	s p ɹ eɪ d	spray	sprayed	⋊ s p ɹ e ⋉	⋊ s p ɹ e d ⋉
1203	k ə n v ɪ k t	k ə n v ɪ k t ə d	convict	convicted	⋊ k ə n v ɪ k t ⋉	⋊ k ə n v ɪ k t ɪ d ⋉
1204	ɪ k w ɪ p	ɪ k w ɪ p t	equip	equipped	⋊ ɪ k w ɪ p ⋉	⋊ ɪ k w ɪ p t ⋉
1205	h a ɹ d ə n	h a ɹ d ə n d	harden	hardened	⋊ h a ɹ d ə n ⋉	⋊ h a ɹ d ə n d ⋉
1206	g ɹ oʊ p	g ɹ oʊ p t	grope	groped	⋊ g ɹ o p ⋉	⋊ g ɹ o p t ⋉
1207	ɹ i s aɪ k ə l	ɹ i s aɪ k ə l d	recycle	recycled	⋊ ɹ i s a ɪ k ə l ⋉	⋊ ɹ i s a ɪ k ə l d ⋉
1208	ɹ ɪ h ɚ s	ɹ ɪ h ɚ s t	rehearse	rehearsed	⋊ ɹ ɪ h ɛ ɹ s ⋉	⋊ ɹ ɪ h ɛ ɹ s t ⋉
1209	t w ɪ tʃ	t w ɪ tʃ t	twitch	twitched	⋊ t w ɪ t ʃ ⋉	⋊ t w ɪ t ʃ t ⋉
1210	d ɪ s p ɚ s	d ɪ s p ɚ s t	disperse	dispersed	⋊ d ɪ s p ɛ ɹ s ⋉	⋊ d ɪ s p ɛ ɹ s t ⋉
1211	h æ n d i k æ p	h æ n d i k æ p t	handicap	handicapped	⋊ h ɑ n d i k ɑ p ⋉	⋊ h ɑ n d i k ɑ p t ⋉
1212	h aʊ l	h aʊ l d	howl	howled	⋊ h a ʊ l ⋉	⋊ h a ʊ l d ⋉
1213	ɪ l u m ɪ n eɪ t	ɪ l u m ɪ n eɪ t ə d	illuminate	illuminated	⋊ ɪ l u m ɪ n e t ⋉	⋊ ɪ l u m ɪ n e t ɪ d ⋉
1214	k l ɛ n tʃ	k l ɛ n tʃ t	clench	clenched	⋊ k l ɛ n t ʃ ⋉	⋊ k l ɛ n t ʃ t ⋉
1215	ɪ n d oʊ ɹ s	ɪ n d oʊ ɹ s t	endorse	endorsed	⋊ ɪ n d o ɹ s ⋉	⋊ ɪ n d o ɹ s t ⋉
1216	p æ n t	p æ n t ə d	pant	panted	⋊ p ɑ n t ⋉	⋊ p ɑ n t ɪ d ⋉
1217	s æ k	s æ k t	sack	sacked	⋊ s ɑ k ⋉	⋊ s ɑ k t ⋉
1218	s w ɚ l	s w ɚ l d	swirl	swirled	⋊ s w ɛ ɹ l ⋉	⋊ s w ɛ ɹ l d ⋉
1219	ə p ɔ l	ə p ɔ l d	appal	appalled	⋊ ə p ɔ l ⋉	⋊ ə p ɔ l d ⋉
1220	d æ ŋ g ə l	d æ ŋ g ə l d	dangle	dangled	⋊ d ɑ ŋ g ə l ⋉	⋊ d ɑ ŋ g ə l d ⋉
1221	ə ɹ ɪ dʒ ə n eɪ t	ə ɹ ɪ dʒ ə n eɪ t ə d	originate	originated	⋊ ə ɹ ɪ d ʒ ə n e t ⋉	⋊ ə ɹ ɪ d ʒ ə n e t ɪ d ⋉
1222	ɹ ɪ f oʊ ɹ m	ɹ ɪ f oʊ ɹ m d	reform	reformed	⋊ ɹ ɪ f o ɹ m ⋉	⋊ ɹ ɪ f o ɹ m d ⋉
1223	ɪ n t eɪ l	ɪ n t eɪ l d	entail	entailed	⋊ ɪ n t e l ⋉	⋊ ɪ n t e l d ⋉
1224	m ɪ l k	m ɪ l k t	milk	milked	⋊ m ɪ l k ⋉	⋊ m ɪ l k t ⋉
1225	p i l	p i l d	peel	peeled	⋊ p i l ⋉	⋊ p i l d ⋉
1226	p a n d ɚ	p a n d ɚ d	ponder	pondered	⋊ p a n d ɛ ɹ ⋉	⋊ p a n d ɛ ɹ d ⋉
1227	k ə m p ɹ ɛ s	k ə m p ɹ ɛ s t	compress	compressed	⋊ k ə m p ɹ ɛ s ⋉	⋊ k ə m p ɹ ɛ s t ⋉
1228	f oʊ ɹ dʒ	f oʊ ɹ dʒ d	forge	forged	⋊ f o ɹ d ʒ ⋉	⋊ f o ɹ d ʒ d ⋉
1229	h a ɹ v ɪ s t	h a ɹ v ɪ s t ə d	harvest	harvested	⋊ h a ɹ v ɪ s t ⋉	⋊ h a ɹ v ɪ s t ɪ d ⋉
1230	m a k	m a k t	mock	mocked	⋊ m a k ⋉	⋊ m a k t ⋉
1231	s p ɛ s ɪ f aɪ	s p ɛ s ɪ f aɪ d	specify	specified	⋊ s p ɛ s ɪ f a ɪ ⋉	⋊ s p ɛ s ɪ f a ɪ d ⋉
1232	l u m	l u m d	loom	loomed	⋊ l u m ⋉	⋊ l u m d ⋉
1233	p ɹ a s ə k j u t	p ɹ a s ə k j u t ə d	prosecute	prosecuted	⋊ p ɹ a s ə k j u t ⋉	⋊ p ɹ a s ə k j u t ɪ d ⋉
1234	t ɪ k	t ɪ k t	tick	ticked	⋊ t ɪ k ⋉	⋊ t ɪ k t ⋉
1235	ʌ n d u	ʌ n d ɪ d	undo	undid	⋊ ʌ n d u ⋉	⋊ ʌ n d ɪ d ⋉
1236	tʃ ɪ l	tʃ ɪ l d	chill	chilled	⋊ t ʃ ɪ l ⋉	⋊ t ʃ ɪ l d ⋉
1237	ɪ n d ʌ s t ɹ i ə l aɪ z	ɪ n d ʌ s t ɹ i ə l aɪ z d	industrialize	industrialized	⋊ ɪ n d ʌ s t ɹ i ə l a ɪ z ⋉	⋊ ɪ n d ʌ s t ɹ i ə l a ɪ z d ⋉
1238	ɪ n t ɛ n s ɪ f aɪ	ɪ n t ɛ n s ɪ f aɪ d	intensify	intensified	⋊ ɪ n t ɛ n s ɪ f a ɪ ⋉	⋊ ɪ n t ɛ n s ɪ f a ɪ d ⋉
1239	oʊ m ɪ t	oʊ m ɪ t ə d	omit	omitted	⋊ o m ɪ t ⋉	⋊ o m ɪ t ɪ d ⋉
1240	s ɔ f ə n	s ɔ f ə n d	soften	softened	⋊ s ɔ f ə n ⋉	⋊ s ɔ f ə n d ⋉
1241	k ə n f ɚ	k ə n f ɚ d	confer	conferred	⋊ k ə n f ɛ ɹ ⋉	⋊ k ə n f ɛ ɹ d ⋉
1242	d ɪ s ɪ p l ɪ n	d ɪ s ɪ p l ɪ n d	discipline	disciplined	⋊ d ɪ s ɪ p l ɪ n ⋉	⋊ d ɪ s ɪ p l ɪ n d ⋉
1243	d ɪ s t ɹ æ k t	d ɪ s t ɹ æ k t ə d	distract	distracted	⋊ d ɪ s t ɹ ɑ k t ⋉	⋊ d ɪ s t ɹ ɑ k t ɪ d ⋉
1244	ɪ n h ɪ b ɪ t	ɪ n h ɪ b ɪ t ə d	inhibit	inhibited	⋊ ɪ n h ɪ b ɪ t ⋉	⋊ ɪ n h ɪ b ɪ t ɪ d ⋉
1245	m ɪ n ɪ m aɪ z	m ɪ n ɪ m aɪ z d	minimize	minimized	⋊ m ɪ n ɪ m a ɪ z ⋉	⋊ m ɪ n ɪ m a ɪ z d ⋉
1246	ɹ i z ə n	ɹ i z ə n d	reason	reasoned	⋊ ɹ i z ə n ⋉	⋊ ɹ i z ə n d ⋉
1247	s p a n s ɚ	s p a n s ɚ d	sponsor	sponsored	⋊ s p a n s ɛ ɹ ⋉	⋊ s p a n s ɛ ɹ d ⋉
1248	b oʊ ɹ d	b oʊ ɹ d ə d	board	boarded	⋊ b o ɹ d ⋉	⋊ b o ɹ d ɪ d ⋉
1249	f l æ t ə n	f l æ t ə n d	flatten	flattened	⋊ f l ɑ t ə n ⋉	⋊ f l ɑ t ə n d ⋉
1250	n ɪ t	n ɪ t	knit	knitted	⋊ n ɪ t ⋉	⋊ n ɪ t ⋉
1251	p ɪ n tʃ	p ɪ n tʃ t	pinch	pinched	⋊ p ɪ n t ʃ ⋉	⋊ p ɪ n t ʃ t ⋉
1252	s ʌ p l ə m ɛ n t	s ʌ p l ə m ɛ n t ə d	supplement	supplemented	⋊ s ʌ p l ə m ɛ n t ⋉	⋊ s ʌ p l ə m ɛ n t ɪ d ⋉
1253	m ɪ s t eɪ k	m ɪ s t ʊ k	mistake	mistook	⋊ m ɪ s t e k ⋉	⋊ m ɪ s t ʊ k ⋉
1254	n ʌ m b ɚ	n ʌ m b ɚ d	number	numbered	⋊ n ʌ m b ɛ ɹ ⋉	⋊ n ʌ m b ɛ ɹ d ⋉
1255	ɹ ɪ t ɹ i v	ɹ ɪ t ɹ i v d	retrieve	retrieved	⋊ ɹ ɪ t ɹ i v ⋉	⋊ ɹ ɪ t ɹ i v d ⋉
1256	s k ɪ p	s k ɪ p t	skip	skipped	⋊ s k ɪ p ⋉	⋊ s k ɪ p t ⋉
1257	w eɪ l	w eɪ l d	wail	wailed	⋊ w e l ⋉	⋊ w e l d ⋉
1258	eɪ d	eɪ d ə d	aid	aided	⋊ e d ⋉	⋊ e d ɪ d ⋉
1259	ɛ dʒ	ɛ dʒ d	edge	edged	⋊ ɛ d ʒ ⋉	⋊ ɛ d ʒ d ⋉
1260	d ɪ s p ɛ n s	d ɪ s p ɛ n s t	dispense	dispensed	⋊ d ɪ s p ɛ n s ⋉	⋊ d ɪ s p ɛ n s t ⋉
1261	t ɛ s t ə f aɪ	t ɛ s t ə f aɪ d	testify	testified	⋊ t ɛ s t ə f a ɪ ⋉	⋊ t ɛ s t ə f a ɪ d ⋉
1262	w i l	w i l d	wheel	wheeled	⋊ w i l ⋉	⋊ w i l d ⋉
1263	k ɹ ʌ m p ə l	k ɹ ʌ m p ə l d	crumple	crumpled	⋊ k ɹ ʌ m p ə l ⋉	⋊ k ɹ ʌ m p ə l d ⋉
1264	ɹ ɛ k ə n s aɪ l	ɹ ɛ k ə n s aɪ l d	reconcile	reconciled	⋊ ɹ ɛ k ə n s a ɪ l ⋉	⋊ ɹ ɛ k ə n s a ɪ l d ⋉
1265	ɹ oʊ s t	ɹ oʊ s t ə d	roast	roasted	⋊ ɹ o s t ⋉	⋊ ɹ o s t ɪ d ⋉
1266	s k æ n	s k æ n d	scan	scanned	⋊ s k ɑ n ⋉	⋊ s k ɑ n d ⋉
1267	s p ɹ ɔ l	s p ɹ ɔ l d	sprawl	sprawled	⋊ s p ɹ ɔ l ⋉	⋊ s p ɹ ɔ l d ⋉
1268	b æ t ə l	b æ t ə l d	battle	battled	⋊ b ɑ t ə l ⋉	⋊ b ɑ t ə l d ⋉
1269	d w ɛ l	d w ɛ l t	dwell	dwellt	⋊ d w ɛ l ⋉	⋊ d w ɛ l t ⋉
1270	d w ɛ l	d w ɛ l d	dwell	dwelled	⋊ d w ɛ l ⋉	⋊ d w ɛ l d ⋉
1271	g ɹ ʌ n t	g ɹ ʌ n t ə d	grunt	grunted	⋊ g ɹ ʌ n t ⋉	⋊ g ɹ ʌ n t ɪ d ⋉
1272	oʊ v ɚ w ɛ l m	oʊ v ɚ w ɛ l m d	overwhelm	overwhelmed	⋊ o v ɛ ɹ w ɛ l m ⋉	⋊ o v ɛ ɹ w ɛ l m d ⋉
1273	s ɪ g n ɪ f aɪ	s ɪ g n ɪ f aɪ d	signify	signified	⋊ s ɪ g n ɪ f a ɪ ⋉	⋊ s ɪ g n ɪ f a ɪ d ⋉
1274	t ɹ ɪ g ɚ	t ɹ ɪ g ɚ d	trigger	triggered	⋊ t ɹ ɪ g ɛ ɹ ⋉	⋊ t ɹ ɪ g ɛ ɹ d ⋉
1275	ə p l ɔ d	ə p l ɔ d ə d	applaud	applauded	⋊ ə p l ɔ d ⋉	⋊ ə p l ɔ d ɪ d ⋉
1276	b eɪ ð	b eɪ ð d	bathe	bathed	⋊ b e ð ⋉	⋊ b e ð d ⋉
1277	k l ɪ k	k l ɪ k t	click	clicked	⋊ k l ɪ k ⋉	⋊ k l ɪ k t ⋉
1278	k ə n g ɹ æ tʃ ʊ l eɪ t	k ə n g ɹ æ tʃ ʊ l eɪ t ə d	congratulate	congratulated	⋊ k ə n g ɹ ɑ t ʃ ʊ l e t ⋉	⋊ k ə n g ɹ ɑ t ʃ ʊ l e t ɪ d ⋉
1279	d w ɪ n d ə l	d w ɪ n d ə l d	dwindle	dwindled	⋊ d w ɪ n d ə l ⋉	⋊ d w ɪ n d ə l d ⋉
1280	ɪ v oʊ k	ɪ v oʊ k t	evoke	evoked	⋊ ɪ v o k ⋉	⋊ ɪ v o k t ⋉
1281	l u s ə n	l u s ə n d	loosen	loosened	⋊ l u s ə n ⋉	⋊ l u s ə n d ⋉
1282	n æ g	n æ g d	nag	nagged	⋊ n ɑ g ⋉	⋊ n ɑ g d ⋉
1283	θ ɹ ɪ l	θ ɹ ɪ l d	thrill	thrilled	⋊ θ ɹ ɪ l ⋉	⋊ θ ɹ ɪ l d ⋉
1284	ə l ɚ t	ə l ɚ t ə d	alert	alerted	⋊ ə l ɛ ɹ t ⋉	⋊ ə l ɛ ɹ t ɪ d ⋉
1285	d eɪ z	d eɪ z d	daze	dazed	⋊ d e z ⋉	⋊ d e z d ⋉
1286	dʒ ɛ s tʃ ɚ	dʒ ɛ s tʃ ɚ d	gesture	gestured	⋊ d ʒ ɛ s t ʃ ɛ ɹ ⋉	⋊ d ʒ ɛ s t ʃ ɛ ɹ d ⋉
1287	ɹ ɛ g j ʊ l eɪ t	ɹ ɛ g j ʊ l eɪ t ə d	regulate	regulated	⋊ ɹ ɛ g j ʊ l e t ⋉	⋊ ɹ ɛ g j ʊ l e t ɪ d ⋉
1288	ɹ aʊ z	ɹ aʊ z d	rouse	roused	⋊ ɹ a ʊ z ⋉	⋊ ɹ a ʊ z d ⋉
1289	b i m	b i m d	beam	beamed	⋊ b i m ⋉	⋊ b i m d ⋉
1290	k l æ s ɪ f aɪ	k l æ s ɪ f aɪ d	classify	classified	⋊ k l ɑ s ɪ f a ɪ ⋉	⋊ k l ɑ s ɪ f a ɪ d ⋉
1291	d ɪ s tʃ a ɹ dʒ	d ɪ s tʃ a ɹ dʒ d	discharge	discharged	⋊ d ɪ s t ʃ a ɹ d ʒ ⋉	⋊ d ɪ s t ʃ a ɹ d ʒ d ⋉
1292	ɛ d ɪ t	ɛ d ɪ t ə d	edit	edited	⋊ ɛ d ɪ t ⋉	⋊ ɛ d ɪ t ɪ d ⋉
1293	ɪ m b a d i	ɪ m b a d i d	embody	embodied	⋊ ɪ m b a d i ⋉	⋊ ɪ m b a d i d ⋉
1294	ɪ k s p eɪ ɹ ɪ m ə n t	ɪ k s p eɪ ɹ ɪ m ə n t ə d	experiment	experimented	⋊ ɪ k s p e ɹ ɪ m ə n t ⋉	⋊ ɪ k s p e ɹ ɪ m ə n t ɪ d ⋉
1295	p aʊ n d	p aʊ n d ə d	pound	pounded	⋊ p a ʊ n d ⋉	⋊ p a ʊ n d ɪ d ⋉
1296	k oʊ m	k oʊ m d	comb	combed	⋊ k o m ⋉	⋊ k o m d ⋉
1297	ə b s k j u ɹ	ə b s k j u ɹ d	obscure	obscured	⋊ ə b s k j u ɹ ⋉	⋊ ə b s k j u ɹ d ⋉
1298	p ʌ f	p ʌ f t	puff	puffed	⋊ p ʌ f ⋉	⋊ p ʌ f t ⋉
1299	k l oʊ ð	k l oʊ ð d	clothe	clothed	⋊ k l o ð ⋉	⋊ k l o ð d ⋉
1300	i ɹ oʊ d	i ɹ oʊ d ə d	erode	eroded	⋊ i ɹ o d ⋉	⋊ i ɹ o d ɪ d ⋉
1301	f ɛ l	f ɛ l d	fell	felled	⋊ f ɛ l ⋉	⋊ f ɛ l d ⋉
1302	w ɔ t ɚ	w ɔ t ɚ d	water	watered	⋊ w ɔ t ɛ ɹ ⋉	⋊ w ɔ t ɛ ɹ d ⋉
1303	ə s ɔ l t	ə s ɔ l t ə d	assault	assaulted	⋊ ə s ɔ l t ⋉	⋊ ə s ɔ l t ɪ d ⋉
1304	b ʊ l i	b ʊ l i d	bully	bullied	⋊ b ʊ l i ⋉	⋊ b ʊ l i d ⋉
1305	tʃ eɪ ɹ ɪ ʃ	tʃ eɪ ɹ ɪ ʃ t	cherish	cherished	⋊ t ʃ e ɹ ɪ ʃ ⋉	⋊ t ʃ e ɹ ɪ ʃ t ⋉
1306	d ɪ s ə p ɹ u v	d ɪ s ə p ɹ u v d	disapprove	disapproved	⋊ d ɪ s ə p ɹ u v ⋉	⋊ d ɪ s ə p ɹ u v d ⋉
1307	f ɪ l t ɚ	f ɪ l t ɚ d	filter	filtered	⋊ f ɪ l t ɛ ɹ ⋉	⋊ f ɪ l t ɛ ɹ d ⋉
1308	g l ɪ s ə n	g l ɪ s ə n d	glisten	glistened	⋊ g l ɪ s ə n ⋉	⋊ g l ɪ s ə n d ⋉
1309	h ɪ s	h ɪ s t	hiss	hissed	⋊ h ɪ s ⋉	⋊ h ɪ s t ⋉
1310	h ʌ d ə l	h ʌ d ə l d	huddle	huddled	⋊ h ʌ d ə l ⋉	⋊ h ʌ d ə l d ⋉
1311	p oʊ ɹ t ɹ eɪ	p oʊ ɹ t ɹ eɪ d	portray	portrayed	⋊ p o ɹ t ɹ e ⋉	⋊ p o ɹ t ɹ e d ⋉
1312	s ɪ m ɚ	s ɪ m ɚ d	simmer	simmered	⋊ s ɪ m ɛ ɹ ⋉	⋊ s ɪ m ɛ ɹ d ⋉
1313	j u n ɪ f aɪ	j u n ɪ f aɪ d	unify	unified	⋊ j u n ɪ f a ɪ ⋉	⋊ j u n ɪ f a ɪ d ⋉
1314	b l aɪ n d	b l aɪ n d ə d	blind	blinded	⋊ b l a ɪ n d ⋉	⋊ b l a ɪ n d ɪ d ⋉
1315	f ʌ m b ə l	f ʌ m b ə l d	fumble	fumbled	⋊ f ʌ m b ə l ⋉	⋊ f ʌ m b ə l d ⋉
1316	h eɪ s ə n	h eɪ s ə n d	hasten	hastened	⋊ h e s ə n ⋉	⋊ h e s ə n d ⋉
1317	oʊ v ɚ t eɪ k	oʊ v ɚ t ʊ k	overtake	overtook	⋊ o v ɛ ɹ t e k ⋉	⋊ o v ɛ ɹ t ʊ k ⋉
1318	ʃ a ɹ p ə n	ʃ a ɹ p ə n d	sharpen	sharpened	⋊ ʃ a ɹ p ə n ⋉	⋊ ʃ a ɹ p ə n d ⋉
1319	s t aɪ f ə l	s t aɪ f ə l d	stifle	stifled	⋊ s t a ɪ f ə l ⋉	⋊ s t a ɪ f ə l d ⋉
1320	t aɪ d i	t aɪ d i d	tidy	tidied	⋊ t a ɪ d i ⋉	⋊ t a ɪ d i d ⋉
1321	d ɪ k eɪ	d ɪ k eɪ d	decay	decayed	⋊ d ɪ k e ⋉	⋊ d ɪ k e d ⋉
1322	f u l	f u l d	fool	fooled	⋊ f u l ⋉	⋊ f u l d ⋉
1323	m oʊ b ə l aɪ z	m oʊ b ə l aɪ z d	mobilize	mobilized	⋊ m o b ə l a ɪ z ⋉	⋊ m o b ə l a ɪ z d ⋉
