lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_unicode	past_unicode
ˈi z	ˈi z d	404	ease	eased	∅ -> d	regular	NA	ˈiz	ˈizd
ˈæ n ə l aɪ z	ˈæ n ə l aɪ z d	403	analyse	analysed	∅ -> d	regular	NA	ˈænəlYz	ˈænəlYzd
f ˈoʊ k ə s	f ˈoʊ k ə s t	403	focus	focussed	∅ -> t	regular	NA	fˈokəs	fˈokəst
t ˈeɪ s t	t ˈeɪ s t ɨ d	402	taste	tasted	∅ -> ɨ d	regular	NA	tˈest	tˈestɨd
oʊ v ɚ l ˈʊ k	oʊ v ɚ l ˈʊ k t	399	overlook	overlooked	∅ -> t	regular	NA	ovɚlˈʊk	ovɚlˈʊkt
p ɹ ə dʒ ˈɛ k t	p ɹ ə dʒ ˈɛ k t ɨ d	399	project	projected	∅ -> ɨ d	regular	NA	pɹəJˈɛkt	pɹəJˈɛktɨd
ɪ n k ˈaʊ n t ɚ	ɪ n k ˈaʊ n t ɚ d	397	encounter	encountered	∅ -> d	regular	NA	ɪnkˈWntɚ	ɪnkˈWntɚd
ə p ˈi l	ə p ˈi l d	396	appeal	appealed	∅ -> d	regular	NA	əpˈil	əpˈild
ə w ˈeɪ t	ə w ˈeɪ t ɨ d	396	await	awaited	∅ -> ɨ d	regular	NA	əwˈet	əwˈetɨd
ɪ k s p l ˈoʊ d	ɪ k s p l ˈoʊ d ɨ d	396	explode	exploded	∅ -> ɨ d	regular	NA	ɪksplˈod	ɪksplˈodɨd
ɹ ˈɛ k ə n	ɹ ˈɛ k ə n d	394	reckon	reckoned	∅ -> d	regular	NA	ɹˈɛkən	ɹˈɛkənd
f ɹ ˈaɪ t ə n	f ɹ ˈaɪ t ə n d	392	frighten	frightened	∅ -> d	regular	NA	fɹˈYtən	fɹˈYtənd
p ɚ s ˈi v	p ɚ s ˈi v d	391	perceive	perceived	∅ -> d	regular	NA	pɚsˈiv	pɚsˈivd
ɪ n t ɚ ɹ f ˈi ɹ	ɪ n t ɚ ɹ f ˈi ɹ d	390	interfere	interfered	∅ -> d	regular	NA	ɪntɚɹfˈiɹ	ɪntɚɹfˈiɹd
j ˈɛ l	j ˈɛ l d	390	yell	yelled	∅ -> d	regular	NA	jˈɛl	jˈɛld
ɹ ˈeɪ s	ɹ ˈeɪ s t	389	race	raced	∅ -> t	regular	NA	ɹˈes	ɹˈest
t ɹ ˈeɪ s	t ɹ ˈeɪ s t	389	trace	traced	∅ -> t	regular	NA	tɹˈes	tɹˈest
ɹ ɪ z ˈɛ n t	ɹ ɪ z ˈɛ n t ɨ d	388	resent	resented	∅ -> ɨ d	regular	NA	ɹɪzˈɛnt	ɹɪzˈɛntɨd
p a ɹ t ˈɪ s ɪ p eɪ t	p a ɹ t ˈɪ s ɪ p eɪ t ɨ d	386	participate	participated	∅ -> ɨ d	regular	NA	paɹtˈɪsɪpet	paɹtˈɪsɪpetɨd
ɹ ˈoʊ ɹ	ɹ ˈoʊ ɹ d	386	roar	roared	∅ -> d	regular	NA	ɹˈoɹ	ɹˈoɹd
k j ˈu ɹ	k j ˈu ɹ d	383	cure	cured	∅ -> d	regular	NA	kjˈuɹ	kjˈuɹd
s t ˈʌ f	s t ˈʌ f t	383	stuff	stuffed	∅ -> t	regular	NA	stˈʌf	stˈʌft
æ n t ˈɪ s ə p eɪ t	æ n t ˈɪ s ə p eɪ t ɨ d	382	anticipate	anticipated	∅ -> ɨ d	regular	NA	æntˈɪsəpet	æntˈɪsəpetɨd
f ɹ ˈaɪ	f ɹ ˈaɪ d	382	fry	fried	∅ -> d	regular	NA	fɹˈY	fɹˈYd
f ˈɛ tʃ	f ˈɛ tʃ t	381	fetch	fetched	∅ -> t	regular	NA	fˈɛC	fˈɛCt
ɹ i ɪ n f ˈoʊ ɹ s	ɹ i ɪ n f ˈoʊ ɹ s t	380	reinforce	reinforced	∅ -> t	regular	NA	ɹiɪnfˈoɹs	ɹiɪnfˈoɹst
s p ˈeɪ ɹ	s p ˈeɪ ɹ d	379	spare	spared	∅ -> d	regular	NA	spˈeɹ	spˈeɹd
ˈɪ n t ɚ v j u	ˈɪ n t ɚ v j u d	378	interview	interviewed	∅ -> d	regular	NA	ˈɪntɚvju	ˈɪntɚvjud
f ɹ ˈʌ s t ɹ eɪ t	f ɹ ˈʌ s t ɹ eɪ t ɨ d	378	frustrate	frustrated	∅ -> ɨ d	regular	NA	fɹˈʌstɹet	fɹˈʌstɹetɨd
ɪ m p ˈoʊ ɹ t	ɪ m p ˈoʊ ɹ t ɨ d	378	import	imported	∅ -> ɨ d	regular	NA	ɪmpˈoɹt	ɪmpˈoɹtɨd
k ˈʌ m f ɚ t	k ˈʌ m f ɚ t ɨ d	378	comfort	comforted	∅ -> ɨ d	regular	NA	kˈʌmfɚt	kˈʌmfɚtɨd
p ˈa l ɪ ʃ	p ˈa l ɪ ʃ t	376	polish	polished	∅ -> t	regular	NA	pˈalɪʃ	pˈalɪʃt
ɪ n s p ˈɛ k t	ɪ n s p ˈɛ k t ɨ d	374	inspect	inspected	∅ -> ɨ d	regular	NA	ɪnspˈɛkt	ɪnspˈɛktɨd
k l ˈʌ tʃ	k l ˈʌ tʃ t	374	clutch	clutched	∅ -> t	regular	NA	klˈʌC	klˈʌCt
ɹ ɪ v j ˈu	ɹ ɪ v j ˈu d	373	review	reviewed	∅ -> d	regular	NA	ɹɪvjˈu	ɹɪvjˈud
f ˈaɪ l	f ˈaɪ l d	372	file	filed	∅ -> d	regular	NA	fˈYl	fˈYld
k ɹ ˈʌ ʃ	k ɹ ˈʌ ʃ t	372	crush	crushed	∅ -> t	regular	NA	kɹˈʌʃ	kɹˈʌʃt
p ˈaɪ l	p ˈaɪ l d	371	pile	piled	∅ -> d	regular	NA	pˈYl	pˈYld
k ə n f j ˈu z	k ə n f j ˈu z d	370	confuse	confused	∅ -> d	regular	NA	kənfjˈuz	kənfjˈuzd
t ˈʌ k	t ˈʌ k t	369	tuck	tucked	∅ -> t	regular	NA	tˈʌk	tˈʌkt
ˈi ɹ ɪ t eɪ t	ˈi ɹ ɪ t eɪ t ɨ d	366	irritate	irritated	∅ -> ɨ d	regular	NA	ˈiɹɪtet	ˈiɹɪtetɨd
f ɹ ˈi	f ɹ ˈi d	365	free	freed	∅ -> d	regular	NA	fɹˈi	fɹˈid
t ˈɛ l ə f oʊ n	t ˈɛ l ə f oʊ n d	365	telephone	telephoned	∅ -> d	regular	NA	tˈɛləfon	tˈɛləfond
t ɹ ˈeɪ d	t ɹ ˈeɪ d ɨ d	365	trade	traded	∅ -> ɨ d	regular	NA	tɹˈed	tɹˈedɨd
p ɹ ə v ˈoʊ k	p ɹ ə v ˈoʊ k t	364	provoke	provoked	∅ -> t	regular	NA	pɹəvˈok	pɹəvˈokt
s t ˈa ɹ v	s t ˈa ɹ v d	364	starve	starved	∅ -> d	regular	NA	stˈaɹv	stˈaɹvd
s t ˈʌ m b ə l	s t ˈʌ m b ə l d	364	stumble	stumbled	∅ -> d	regular	NA	stˈʌmbəl	stˈʌmbəld
ʃ ɹ ˈɪ ŋ k	ʃ ɹ ˈæ ŋ k	364	shrink	shrank	ɪ -> æ	irregular	NA	ʃɹˈɪŋk	ʃɹˈæŋk
ʃ ɹ ˈɪ ŋ k	ʃ ɹ ˈʌ ŋ k	364	shrink	shrunk	ɪ -> ʌ	irregular	***double for shrank	ʃɹˈɪŋk	ʃɹˈʌŋk
tʃ ˈeɪ s	tʃ ˈeɪ s t	363	chase	chased	∅ -> t	regular	NA	Cˈes	Cˈest
b ˈæ n	b ˈæ n d	362	ban	banned	∅ -> d	regular	NA	bˈæn	bˈænd
ə s ˈɪ s t	ə s ˈɪ s t ɨ d	362	assist	assisted	∅ -> ɨ d	regular	NA	əsˈɪst	əsˈɪstɨd
k ə n s ˈi v	k ə n s ˈi v d	361	conceive	conceived	∅ -> d	regular	NA	kənsˈiv	kənsˈivd
tʃ ˈu	tʃ ˈu d	361	chew	chewed	∅ -> d	regular	NA	Cˈu	Cˈud
n ɪ g ˈoʊ ʃ i eɪ t	n ɪ g ˈoʊ ʃ i eɪ t ɨ d	360	negotiate	negotiated	∅ -> ɨ d	regular	NA	nɪgˈoʃiet	nɪgˈoʃietɨd
s t ɹ ˈɪ p	s t ɹ ˈɪ p t	360	strip	stripped	∅ -> t	regular	NA	stɹˈɪp	stɹˈɪpt
d ˈɛ k ə ɹ eɪ t	d ˈɛ k ə ɹ eɪ t ɨ d	359	decorate	decorated	∅ -> ɨ d	regular	NA	dˈɛkəɹet	dˈɛkəɹetɨd
s ˈeɪ l	s ˈeɪ l d	359	sail	sailed	∅ -> d	regular	NA	sˈel	sˈeld
s t ɹ ˈeɪ n	s t ɹ ˈeɪ n d	359	strain	strained	∅ -> d	regular	NA	stɹˈen	stɹˈend
b ɪ t ɹ ˈeɪ	b ɪ t ɹ ˈeɪ d	358	betray	betrayed	∅ -> d	regular	NA	bɪtɹˈe	bɪtɹˈed
p l ˈʌ n dʒ	p l ˈʌ n dʒ d	358	plunge	plunged	∅ -> d	regular	NA	plˈʌnJ	plˈʌnJd
ɹ ˈɪ s k	ɹ ˈɪ s k t	357	risk	risked	∅ -> t	regular	NA	ɹˈɪsk	ɹˈɪskt
t ˈɔ s	t ˈɔ s t	357	toss	tossed	∅ -> t	regular	NA	tˈɔs	tˈɔst
t ɹ ˈæ n s l eɪ t	t ɹ ˈæ n s l eɪ t ɨ d	356	translate	translated	∅ -> ɨ d	regular	NA	tɹˈænslet	tɹˈænsletɨd
w ˈi k ə n	w ˈi k ə n d	356	weaken	weakened	∅ -> d	regular	NA	wˈikən	wˈikənd
k ɹ ˈu z	k ɹ ˈu z d	355	cruise	cruised	∅ -> d	regular	NA	kɹˈuz	kɹˈuzd
p ˈɝ tʃ ə s	p ˈɝ tʃ ə s t	355	purchase	purchased	∅ -> t	regular	NA	pˈɝCəs	pˈɝCəst
ɪ n s t ˈɔ l	ɪ n s t ˈɔ l d	354	install	installed	∅ -> d	regular	NA	ɪnstˈɔl	ɪnstˈɔld
s t ˈɪ m j ʊ l eɪ t	s t ˈɪ m j ʊ l eɪ t ɨ d	353	stimulate	stimulated	∅ -> ɨ d	regular	NA	stˈɪmjʊlet	stˈɪmjʊletɨd
d ɪ p ˈa ɹ t	d ɪ p ˈa ɹ t ɨ d	350	depart	departed	∅ -> ɨ d	regular	NA	dɪpˈaɹt	dɪpˈaɹtɨd
k ˈa ɹ v	k ˈa ɹ v d	350	carve	carved	∅ -> d	regular	NA	kˈaɹv	kˈaɹvd
ʃ ˈæ t ɚ	ʃ ˈæ t ɚ d	350	shatter	shattered	∅ -> d	regular	NA	ʃˈætɚ	ʃˈætɚd
tʃ ˈa p	tʃ ˈa p t	349	chop	chopped	∅ -> t	regular	NA	Cˈap	Cˈapt
θ ɹ ˈʌ s t	θ ɹ ˈʌ s t	348	thrust	thrust	no_change	irregular	NA	θɹˈʌst	θɹˈʌst
b ˈɛ n ə f ɪ t	b ˈɛ n ə f ɪ t ɨ d	347	benefit	benefited	∅ -> ɨ d	regular	NA	bˈɛnəfɪt	bˈɛnəfɪtɨd
k ə ɹ ˈɛ k t	k ə ɹ ˈɛ k t ɨ d	347	correct	corrected	∅ -> ɨ d	regular	NA	kəɹˈɛkt	kəɹˈɛktɨd
b ˈɛ t ɚ	b ˈɛ t ɚ d	346	better	bettered	∅ -> d	regular	NA	bˈɛtɚ	bˈɛtɚd
b ɹ ˈi d	b ɹ ˈɛ d	341	breed	bred	i -> ɛ	irregular	NA	bɹˈid	bɹˈɛd
ɪ k s k j ˈu z	ɪ k s k j ˈu z d	341	excuse	excused	∅ -> d	regular	NA	ɪkskjˈuz	ɪkskjˈuzd
g ˈʌ v ɚ n	g ˈʌ v ɚ n d	340	govern	governed	∅ -> d	regular	NA	gˈʌvɚn	gˈʌvɚnd
p ˈa p	p ˈa p t	340	pop	popped	∅ -> t	regular	NA	pˈap	pˈapt
d ˈæ m	d ˈæ m d	338	damn	damned	∅ -> d	regular	NA	dˈæm	dˈæmd
f l ˈɝ ɪ ʃ	f l ˈɝ ɪ ʃ t	338	flourish	flourished	∅ -> t	regular	NA	flˈɝɪʃ	flˈɝɪʃt
p l ˈi d	p l ˈi d ɨ d	338	plead	pleaded	∅ -> ɨ d	regular	NA	plˈid	plˈidɨd
d ɪ z ˈɝ t	d ɪ z ˈɝ t ɨ d	336	desert	deserted	∅ -> ɨ d	regular	NA	dɪzˈɝt	dɪzˈɝtɨd
s ˈi t	s ˈi t ɨ d	336	seat	seated	∅ -> ɨ d	regular	NA	sˈit	sˈitɨd
s t ɹ ˈoʊ k	s t ɹ ˈoʊ k t	336	stroke	stroked	∅ -> t	regular	NA	stɹˈok	stɹˈokt
k ɹ ˈæ ʃ	k ɹ ˈæ ʃ t	335	crash	crashed	∅ -> t	regular	NA	kɹˈæʃ	kɹˈæʃt
ɹ ɪ z ˈu m	ɹ ɪ z ˈu m d	335	resume	resumed	∅ -> d	regular	NA	ɹɪzˈum	ɹɪzˈumd
t ˈɛ m p t	t ˈɛ m p t ɨ d	335	tempt	tempted	∅ -> ɨ d	regular	NA	tˈɛmpt	tˈɛmptɨd
d ɪ v ˈaɪ z	d ɪ v ˈaɪ z d	334	devise	devised	∅ -> d	regular	NA	dɪvˈYz	dɪvˈYzd
k ɹ ˈæ k	k ɹ ˈæ k t	333	crack	cracked	∅ -> t	regular	NA	kɹˈæk	kɹˈækt
ɪ n d ˈu ɹ	ɪ n d ˈu ɹ d	332	endure	endured	∅ -> d	regular	NA	ɪndˈuɹ	ɪndˈuɹd
d ɪ z ˈa l v	d ɪ z ˈa l v d	330	dissolve	dissolved	∅ -> d	regular	NA	dɪzˈalv	dɪzˈalvd
s t ɹ ˈeɪ t ə n	s t ɹ ˈeɪ t ə n d	330	straighten	straightened	∅ -> d	regular	NA	stɹˈetən	stɹˈetənd
ə s ˈaɪ n	ə s ˈaɪ n d	329	assign	assigned	∅ -> d	regular	NA	əsˈYn	əsˈYnd
g ˈa ɹ d	g ˈa ɹ d ɨ d	329	guard	guarded	∅ -> ɨ d	regular	NA	gˈaɹd	gˈaɹdɨd
j ˈi l d	j ˈi l d ɨ d	329	yield	yielded	∅ -> ɨ d	regular	NA	jˈild	jˈildɨd
ˈɛ k oʊ	ˈɛ k oʊ d	328	echo	echoed	∅ -> d	regular	NA	ˈɛko	ˈɛkod
ɹ ˈɛ n d ɚ	ɹ ˈɛ n d ɚ d	328	render	rendered	∅ -> d	regular	NA	ɹˈɛndɚ	ɹˈɛndɚd
d ɪ s g ˈaɪ z	d ɪ s g ˈaɪ z d	327	disguise	disguised	∅ -> d	regular	NA	dɪsgˈYz	dɪsgˈYzd
f ˈɝ n ɪ ʃ	f ˈɝ n ɪ ʃ t	327	furnish	furnished	∅ -> t	regular	NA	fˈɝnɪʃ	fˈɝnɪʃt
p ɹ ˈa s ɛ s	p ɹ ˈa s ɛ s t	327	process	processed	∅ -> t	regular	NA	pɹˈasɛs	pɹˈasɛst
p l ˈi z	p l ˈi z d	326	please	pleased	∅ -> d	regular	NA	plˈiz	plˈizd
m ˈa d ə f aɪ	m ˈa d ə f aɪ d	325	modify	modified	∅ -> d	regular	NA	mˈadəfY	mˈadəfYd
ˈɛ dʒ ə k eɪ t	ˈɛ dʒ ə k eɪ t ɨ d	324	educate	educated	∅ -> ɨ d	regular	NA	ˈɛJəket	ˈɛJəketɨd
s ˈi l	s ˈi l d	324	seal	sealed	∅ -> d	regular	NA	sˈil	sˈild
s w ˈeɪ	s w ˈeɪ d	324	sway	swayed	∅ -> d	regular	NA	swˈe	swˈed
ə p ˈa l ə dʒ aɪ z	ə p ˈa l ə dʒ aɪ z d	323	apologize	apologized	∅ -> d	regular	NA	əpˈaləJYz	əpˈaləJYzd
s p ˈɪ l	s p ˈɪ l d	322	spill	spilled	∅ -> d	regular	NA	spˈɪl	spˈɪld
s p ˈɪ l	s p ˈɪ l t	322	spill	spilt	∅ -> t	irregular	***double	spˈɪl	spˈɪlt
ɹ ˈɛ s k j u	ɹ ˈɛ s k j u d	321	rescue	rescued	∅ -> d	regular	NA	ɹˈɛskju	ɹˈɛskjud
s ˈʌ m ə n	s ˈʌ m ə n d	321	summon	summoned	∅ -> d	regular	NA	sˈʌmən	sˈʌmənd
k ˈa n t ə m p l eɪ t	k ˈa n t ə m p l eɪ t ɨ d	319	contemplate	contemplated	∅ -> ɨ d	regular	NA	kˈantəmplet	kˈantəmpletɨd
s ə s p ˈɛ n d	s ə s p ˈɛ n d ɨ d	319	suspend	suspended	∅ -> ɨ d	regular	NA	səspˈɛnd	səspˈɛndɨd
s p ˈɛ l	s p ˈɛ l d	319	spell	spelled	∅ -> d	regular	NA	spˈɛl	spˈɛld
s p ˈɛ l	s p ˈɛ l t	319	spell	spelt	∅ -> t	irregular	***double	spˈɛl	spˈɛlt
ʌ n d ɚ g ˈoʊ	ʌ n d ɚ w ˈɛ n t	319	undergo	underwent	g o -> w ɛ n t	irregular	NA	ʌndɚgˈo	ʌndɚwˈɛnt
m ˈɝ m ɚ	m ˈɝ m ɚ d	318	murmur	murmured	∅ -> d	regular	NA	mˈɝmɚ	mˈɝmɚd
s ˈɪ v ɪ l aɪ z	s ˈɪ v ɪ l aɪ z d	318	civilize	civilized	∅ -> d	regular	NA	sˈɪvɪlYz	sˈɪvɪlYzd
k w ˈa l ə f aɪ	k w ˈa l ə f aɪ d	316	qualify	qualified	∅ -> d	regular	NA	kwˈaləfY	kwˈaləfYd
s k ɹ ˈu	s k ɹ ˈu d	316	screw	screwed	∅ -> d	regular	NA	skɹˈu	skɹˈud
t ˈaɪ t ə n	t ˈaɪ t ə n d	316	tighten	tightened	∅ -> d	regular	NA	tˈYtən	tˈYtənd
b l ˈɛ s	b l ˈɛ s t	315	bless	blessed	∅ -> t	regular	NA	blˈɛs	blˈɛst
ə n ˈɔɪ	ə n ˈɔɪ d	315	annoy	annoyed	∅ -> d	regular	NA	ənˈO	ənˈOd
ɹ ˈaʊ n d	ɹ ˈaʊ n d ɨ d	314	round	rounded	∅ -> ɨ d	regular	NA	ɹˈWnd	ɹˈWndɨd
b ˈæ t ɚ	b ˈæ t ɚ d	313	batter	battered	∅ -> d	regular	NA	bˈætɚ	bˈætɚd
p ˈʌ m p	p ˈʌ m p t	312	pump	pumped	∅ -> t	regular	NA	pˈʌmp	pˈʌmpt
ə l ˈɛ dʒ	ə l ˈɛ dʒ d	311	allege	alleged	∅ -> d	regular	NA	əlˈɛJ	əlˈɛJd
w ˈɪ t n ɪ s	w ˈɪ t n ɪ s t	311	witness	witnessed	∅ -> t	regular	NA	wˈɪtnɪs	wˈɪtnɪst
ˈɪ n t ə g ɹ eɪ t	ˈɪ n t ə g ɹ eɪ t ɨ d	310	integrate	integrated	∅ -> ɨ d	regular	NA	ˈɪntəgɹet	ˈɪntəgɹetɨd
ə f ˈɛ n d	ə f ˈɛ n d ɨ d	310	offend	offended	∅ -> ɨ d	regular	NA	əfˈɛnd	əfˈɛndɨd
ʃ ˈɪ v ɚ	ʃ ˈɪ v ɚ d	310	shiver	shivered	∅ -> d	regular	NA	ʃˈɪvɚ	ʃˈɪvɚd
p ˈɛ n ə t ɹ eɪ t	p ˈɛ n ə t ɹ eɪ t ɨ d	309	penetrate	penetrated	∅ -> ɨ d	regular	NA	pˈɛnətɹet	pˈɛnətɹetɨd
s k ˈæ t ɚ	s k ˈæ t ɚ d	309	scatter	scattered	∅ -> d	regular	NA	skˈætɚ	skˈætɚd
d ɪ s k ˈɝ ɪ dʒ	d ɪ s k ˈɝ ɪ dʒ d	308	discourage	discouraged	∅ -> d	regular	NA	dɪskˈɝɪJ	dɪskˈɝɪJd
s ˈoʊ k	s ˈoʊ k t	306	soak	soaked	∅ -> t	regular	NA	sˈok	sˈokt
s n ˈæ tʃ	s n ˈæ tʃ t	306	snatch	snatched	∅ -> t	regular	NA	snˈæC	snˈæCt
p ɹ ə k l ˈeɪ m	p ɹ ə k l ˈeɪ m d	305	proclaim	proclaimed	∅ -> d	regular	NA	pɹəklˈem	pɹəklˈemd
d ˈʌ m p	d ˈʌ m p t	304	dump	dumped	∅ -> t	regular	NA	dˈʌmp	dˈʌmpt
ɹ ɪ t ɹ ˈi t	ɹ ɪ t ɹ ˈi t ɨ d	304	retreat	retreated	∅ -> ɨ d	regular	NA	ɹɪtɹˈit	ɹɪtɹˈitɨd
ʃ ˈeɪ p	ʃ ˈeɪ p t	304	shape	shaped	∅ -> t	regular	NA	ʃˈep	ʃˈept
t ɹ æ n z m ˈɪ t	t ɹ æ n z m ˈɪ t ɨ d	304	transmit	transmitted	∅ -> ɨ d	regular	NA	tɹænzmˈɪt	tɹænzmˈɪtɨd
b ˈaɪ n d	b ˈaʊ n d	303	bind	bound	aɪ -> aʊ	irregular	NA	bˈYnd	bˈWnd
t ˈaɪ p	t ˈaɪ p t	303	type	typed	∅ -> t	regular	NA	tˈYp	tˈYpt
p ˈæ t	p ˈæ t ɨ d	302	pat	patted	∅ -> ɨ d	regular	NA	pˈæt	pˈætɨd
p ˈɔɪ z ə n	p ˈɔɪ z ə n d	302	poison	poisoned	∅ -> d	regular	NA	pˈOzən	pˈOzənd
p ɹ ˈeɪ z	p ɹ ˈeɪ z d	302	praise	praised	∅ -> d	regular	NA	pɹˈez	pɹˈezd
ə b ˈa l ɪ ʃ	ə b ˈa l ɪ ʃ t	301	abolish	abolished	∅ -> t	regular	NA	əbˈalɪʃ	əbˈalɪʃt
f ɚ b ˈɪ d	f ɚ b ˈæ d	301	forbid	forbade	ɪ -> æ	irregular	***double for forb[e]d	fɚbˈɪd	fɚbˈæd
f ɚ b ˈɪ d	f ɚ b ˈeɪ d	301	forbid	forbade	ɪ -> eɪ	irregular	NA	fɚbˈɪd	fɚbˈed
ɹ ɪ n ˈu	ɹ ɪ n ˈu d	301	renew	renewed	∅ -> d	regular	NA	ɹɪnˈu	ɹɪnˈud
d ˈɪ p	d ˈɪ p t	300	dip	dipped	∅ -> t	regular	NA	dˈɪp	dˈɪpt
ə m ˈeɪ z	ə m ˈeɪ z d	300	amaze	amazed	∅ -> d	regular	NA	əmˈez	əmˈezd
g ɹ ˈeɪ z	g ɹ ˈeɪ z d	300	graze	grazed	∅ -> d	regular	NA	gɹˈez	gɹˈezd
ɪ k s t ɹ ˈæ k t	ɪ k s t ɹ ˈæ k t ɨ d	300	extract	extracted	∅ -> ɨ d	regular	NA	ɪkstɹˈækt	ɪkstɹˈæktɨd
h ˈʊ k	h ˈʊ k t	299	hook	hooked	∅ -> t	regular	NA	hˈʊk	hˈʊkt
s w ˈɛ t	s w ˈɛ t ɨ d	299	sweat	sweated	∅ -> ɨ d	regular	NA	swˈɛt	swˈɛtɨd
g l ˈoʊ	g l ˈoʊ d	298	glow	glowed	∅ -> d	regular	NA	glˈo	glˈod
s p ˈi d	s p ˈɛ d	298	speed	sped	i -> ɛ	irregular	NA	spˈid	spˈɛd
s t ˈæ m p	s t ˈæ m p t	298	stamp	stamped	∅ -> t	regular	NA	stˈæmp	stˈæmpt
f ɹ ˈaʊ n	f ɹ ˈaʊ n d	296	frown	frowned	∅ -> d	regular	NA	fɹˈWn	fɹˈWnd
ɪ n s t ɹ ˈʌ k t	ɪ n s t ɹ ˈʌ k t ɨ d	296	instruct	instructed	∅ -> ɨ d	regular	NA	ɪnstɹˈʌkt	ɪnstɹˈʌktɨd
m ˈʌ m b ə l	m ˈʌ m b ə l d	296	mumble	mumbled	∅ -> d	regular	NA	mˈʌmbəl	mˈʌmbəld
p ɹ ə g ɹ ˈɛ s	p ɹ ə g ɹ ˈɛ s t	296	progress	progressed	∅ -> t	regular	NA	pɹəgɹˈɛs	pɹəgɹˈɛst
d ɪ v ˈoʊ ɹ s	d ɪ v ˈoʊ ɹ s t	295	divorce	divorced	∅ -> t	regular	NA	dɪvˈoɹs	dɪvˈoɹst
f ˈæ n s i	f ˈæ n s i d	295	fancy	fancied	∅ -> d	regular	NA	fˈænsi	fˈænsid
ɪ n k ˈoʊ ɹ p ɚ eɪ t	ɪ n k ˈoʊ ɹ p ɚ eɪ t ɨ d	295	incorporate	incorporated	∅ -> ɨ d	regular	NA	ɪnkˈoɹpɚet	ɪnkˈoɹpɚetɨd
s l ˈæ p	s l ˈæ p t	295	slap	slapped	∅ -> t	regular	NA	slˈæp	slˈæpt
f ˈæ s ə n eɪ t	f ˈæ s ə n eɪ t ɨ d	294	fascinate	fascinated	∅ -> ɨ d	regular	NA	fˈæsənet	fˈæsənetɨd
ɪ n f ˈoʊ ɹ s	ɪ n f ˈoʊ ɹ s t	294	enforce	enforced	∅ -> t	regular	NA	ɪnfˈoɹs	ɪnfˈoɹst
ɹ ˈi ɹ	ɹ ˈi ɹ d	294	rear	reared	∅ -> d	regular	NA	ɹˈiɹ	ɹˈiɹd
s ˈɪ p	s ˈɪ p t	294	sip	sipped	∅ -> t	regular	NA	sˈɪp	sˈɪpt
k ˈa p i	k ˈa p i d	293	copy	copied	∅ -> d	regular	NA	kˈapi	kˈapid
ɹ ɪ g ɹ ˈɛ t	ɹ ɪ g ɹ ˈɛ t ɨ d	293	regret	regretted	∅ -> ɨ d	regular	NA	ɹɪgɹˈɛt	ɹɪgɹˈɛtɨd
w ˈaɪ n d	w ˈaʊ n d	293	wind	wound	aɪ -> aʊ	irregular	NA	wˈYnd	wˈWnd
f l ˈʌ d	f l ˈʌ d ɨ d	292	flood	flooded	∅ -> ɨ d	regular	NA	flˈʌd	flˈʌdɨd
ɪ n d ˈʌ l dʒ	ɪ n d ˈʌ l dʒ d	292	indulge	indulged	∅ -> d	regular	NA	ɪndˈʌlJ	ɪndˈʌlJd
l ˈeɪ b ə l	l ˈeɪ b ə l d	292	label	labelled	∅ -> d	regular	NA	lˈebəl	lˈebəld
t ˈɪ p	t ˈɪ p t	292	tip	tipped	∅ -> t	regular	NA	tˈɪp	tˈɪpt
ə k j ˈu m j ə l eɪ t	ə k j ˈu m j ə l eɪ t ɨ d	291	accumulate	accumulated	∅ -> ɨ d	regular	NA	əkjˈumjəlet	əkjˈumjəletɨd
k ˈæ m p	k ˈæ m p t	291	camp	camped	∅ -> t	regular	NA	kˈæmp	kˈæmpt
k ə n d ˈɪ ʃ ə n	k ə n d ˈɪ ʃ ə n d	291	condition	conditioned	∅ -> d	regular	NA	kəndˈɪʃən	kəndˈɪʃənd
ɹ ɪ w ˈoʊ ɹ d	ɹ ɪ w ˈoʊ ɹ d ɨ d	291	reward	rewarded	∅ -> ɨ d	regular	NA	ɹɪwˈoɹd	ɹɪwˈoɹdɨd
b ˈæ ŋ	b ˈæ ŋ d	290	bang	banged	∅ -> d	regular	NA	bˈæŋ	bˈæŋd
b ˈʊ k	b ˈʊ k t	290	book	booked	∅ -> t	regular	NA	bˈʊk	bˈʊkt
g ˈɪ g ə l	g ˈɪ g ə l d	290	giggle	giggled	∅ -> d	regular	NA	gˈɪgəl	gˈɪgəld
g l ˈi m	g l ˈi m d	290	gleam	gleamed	∅ -> d	regular	NA	glˈim	glˈimd
k ˈæ n s ə l	k ˈæ n s ə l d	290	cancel	cancelled	∅ -> d	regular	NA	kˈænsəl	kˈænsəld
ˈi k w ə l	ˈi k w ə l d	289	equal	equalled	∅ -> d	regular	NA	ˈikwəl	ˈikwəld
b ˈaʊ n s	b ˈaʊ n s t	289	bounce	bounced	∅ -> t	regular	NA	bˈWns	bˈWnst
g ˈæ s p	g ˈæ s p t	285	gasp	gasped	∅ -> t	regular	NA	gˈæsp	gˈæspt
ɪ n k l ˈoʊ z	ɪ n k l ˈoʊ z d	285	enclose	enclosed	∅ -> d	regular	NA	ɪnklˈoz	ɪnklˈozd
